"%IDData";"%IDUnidade";"%IDMunicipio";"%IDExame";"Qtde. Vendas";"Vlr. Vendas";"Vlr. Unit. Vendas"
01/01/2019;"52";"3106200";"191";4;29.32;7.33
01/01/2019;"53";"3106200";"191";5;57.65;11.53
01/01/2019;"57";"3106200";"194";1;3.5;3.5
01/01/2019;"55";"3106200";"194";1;5.08;5.08
01/01/2019;"59";"3106200";"194";1;5.22;5.22
01/01/2019;"59";"3118601";"194";1;5.22;5.22
01/01/2019;"56";"3106200";"194";2;7.64;3.82
01/01/2019;"54";"3144805";"194";3;15.66;5.22
01/01/2019;"56";"3106200";"194";5;15.7;3.14
01/01/2019;"58";"3106705";"194";7;15.47;2.21
01/01/2019;"53";"3118601";"194";9;19.8;2.2
01/01/2019;"54";"3106200";"194";13;36.79;2.83
01/01/2019;"59";"3106200";"194";17;70.55;4.15
01/01/2019;"55";"3106200";"194";17;88.74;5.22
01/01/2019;"55";"3106200";"194";73;135.05;1.85
01/01/2019;"51";"3106200";"201";1;101;101
01/01/2019;"54";"3144805";"202";1;133;133
01/01/2019;"53";"3106200";"205";1;4.92;4.92
01/01/2019;"52";"3106200";"205";1;6.79;6.79
01/01/2019;"57";"3106200";"205";2;11.8;5.9
01/01/2019;"57";"3106200";"210";1;18.43;18.43
01/01/2019;"50";"3106200";"210";1;36.12;36.12
01/01/2019;"59";"3106200";"210";1;45.83;45.83
01/01/2019;"53";"3144805";"210";1;45.83;45.83
01/01/2019;"54";"3144805";"210";1;45.83;45.83
01/01/2019;"58";"3170107";"210";1;45.83;45.83
01/01/2019;"58";"3106705";"210";2;51;25.5
01/01/2019;"58";"3106200";"210";2;91.66;45.83
01/01/2019;"54";"3106200";"210";2;94.9;47.45
01/01/2019;"56";"3106200";"210";3;26.49;8.83
01/01/2019;"56";"3106200";"210";3;61.56;20.52
01/01/2019;"56";"3170107";"210";3;62.7;20.9
01/01/2019;"52";"3106200";"210";3;66;22
01/01/2019;"50";"3106200";"210";3;89.95;29.98
01/01/2019;"51";"3106705";"210";3;145.71;48.57
01/01/2019;"51";"3106200";"210";4;76.52;19.13
01/01/2019;"52";"3106200";"210";4;117.2;29.3
01/01/2019;"58";"3106200";"210";4;151.84;37.96
01/01/2019;"59";"3106200";"210";4;200.2;50.05
01/01/2019;"58";"3106200";"210";5;122.35;24.47
01/01/2019;"55";"3106200";"210";5;200.05;40.01
01/01/2019;"55";"3170107";"210";6;238.56;39.76
01/01/2019;"55";"3106200";"210";7;210;30
01/01/2019;"59";"3106200";"210";8;108.8;13.6
01/01/2019;"53";"3106200";"210";11;257.84;23.44
01/01/2019;"54";"3144805";"210";19;359.1;18.9
01/01/2019;"51";"3106200";"210";20;215;10.75
01/01/2019;"54";"3106200";"210";21;504;24
01/01/2019;"52";"3106200";"210";24;432;18
01/01/2019;"53";"3106200";"210";90;1701;18.9
01/01/2019;"58";"3106200";"214";1;5.46;5.46
01/01/2019;"59";"3106200";"214";1;7.85;7.85
01/01/2019;"54";"3144805";"214";1;11.85;11.85
01/01/2019;"57";"3106200";"214";2;15.78;7.89
01/01/2019;"53";"3106200";"214";2;29.7;14.85
01/01/2019;"58";"3170107";"214";2;32.46;16.23
01/01/2019;"56";"3106200";"214";3;19.5;6.5
01/01/2019;"56";"3170107";"214";3;21;7
01/01/2019;"50";"3106200";"214";4;30.46;7.62
