%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,1915,1,9.9,9.9
01/01/2019,54,3144805,1934,1,18.78,18.78
01/01/2019,54,3144805,1950,2,3.6,1.8
01/01/2019,54,3144805,1974,1,52.4,52.4
01/01/2019,54,3144805,1979,1,29.41,29.41
01/01/2019,54,3144805,1986,2,9.68,4.84
01/01/2019,53,3144805,1986,5,31.65,6.33
01/01/2019,54,3144805,1986,151,332.2,2.2
01/01/2019,54,3144805,1991,47,151.81,3.23
01/01/2019,54,3144805,2003,2,6,3.
01/01/2019,54,3144805,2005,91,864.5,9.5
01/01/2019,54,3144805,2008,1,15.09,15.09
01/01/2019,54,3144805,2016,1,17.7,17.7
01/01/2019,54,3144805,2016,5,47.6,9.52
01/01/2019,54,3144805,2027,1,25.71,25.71
01/01/2019,54,3144805,2027,45,841.5,18.7
01/01/2019,54,3144805,2030,8,42.16,5.27
01/01/2019,54,3144805,2030,431,1206.8,2.8
01/01/2019,54,3144805,2032,2,19.4,9.7
01/01/2019,54,3144805,2032,31,201.5,6.5
01/01/2019,54,3144805,2059,7,9.24,1.32
01/01/2019,54,3144805,2139,1,7.01,7.01
01/01/2019,54,3144805,2139,5,30.25,6.05
01/01/2019,54,3144805,2139,113,1050.9,9.3
01/01/2019,54,3144805,2148,5,700,140.
01/01/2019,54,3144805,2148,7,280,40.
01/01/2019,54,3144805,2159,10,35.7,3.57
01/01/2019,54,3144805,2162,1,4.86,4.86
01/01/2019,54,3144805,2162,2,11.78,5.89
01/01/2019,54,3144805,2162,16,35.2,2.2
01/01/2019,54,3144805,2185,3,29.7,9.9
01/01/2019,54,3144805,2186,1,9.9,9.9
01/01/2019,53,3144805,2194,33,76.89,2.33
01/01/2019,54,3144805,2194,45,74.25,1.65
01/01/2019,54,3144805,2258,1,30.73,30.73
01/01/2019,54,3144805,2259,1,30.73,30.73
01/01/2019,54,3144805,2260,1,30.73,30.73
01/01/2019,54,3144805,2287,2,69.08,34.54
01/01/2019,54,3144805,2289,4,6.8,1.7
01/01/2019,54,3144805,2294,1,3.8,3.8
01/01/2019,53,3144805,2294,1,6.62,6.62
01/01/2019,54,3144805,2294,1,6.62,6.62
01/01/2019,54,3144805,2294,23,109.48,4.76
01/01/2019,54,3144805,2307,1,3.45,3.45
01/01/2019,54,3144805,2313,26,46.8,1.8
01/01/2019,54,3144805,2324,1,34.54,34.54
01/01/2019,54,3144805,2325,1,34.54,34.54
01/01/2019,54,3144805,2332,1,6.52,6.52
01/01/2019,54,3144805,2338,1,9.35,9.35
01/01/2019,53,3144805,2338,2,25.42,12.71
01/01/2019,54,3144805,2338,10,127.1,12.71
01/01/2019,54,3144805,2371,3,318.45,106.15
01/01/2019,54,3144805,2372,7,33.74,4.82
01/01/2019,54,3144805,2394,16,148.8,9.3
01/01/2019,54,3144805,2416,1,4.46,4.46
01/01/2019,54,3144805,2416,44,162.8,3.7
01/01/2019,54,3144805,2444,1,6.81,6.81
01/01/2019,54,3144805,2492,4,19.6,4.9
01/01/2019,54,3144805,2493,1,10.85,10.85
01/01/2019,54,3144805,2520,2,5.4,2.7
01/01/2019,54,3144805,2521,3,170.13,56.71
01/01/2019,54,3144805,2521,10,198,19.8
01/01/2019,54,3144805,2523,1,4.18,4.18
01/01/2019,54,3144805,2523,1,5.69,5.69
01/01/2019,54,3144805,2528,1,90.42,90.42
01/01/2019,54,3144805,2528,3,100.02,33.34
01/01/2019,54,3144805,2535,1,4.5,4.5
